Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year
29,MIA,George Ackles,"University of Nevada, Las Vegas",,,,,,,,,,,,,,,,,,1991
30,ATL,Rodney Monroe,North Carolina State University,1,38,313,131,33,27,.368,.222,.826,8.2,3.4,0.9,0.7,-0.2,-.035,-6.9,-0.4,1991
31,SAC,Randy Brown,New Mexico State University,12,655,11533,3148,1173,1420,.417,.200,.691,17.6,4.8,1.8,2.2,11.0,.046,-2.2,-0.5,1991
32,PHO,Chad Gallagher,Creighton University,1,2,3,6,0,0,1.000,,,1.5,3.0,0.0,0.0,0.1,1.442,16.3,0.0,1991
33,DAL,Donald Hodge,Temple University,5,249,3501,1182,809,191,.437,.286,.711,14.1,4.7,3.2,0.8,1.8,.025,-4.0,-1.8,1991
34,MIN,Myron Brown,Slippery Rock University of Pennsylvania,1,4,23,9,3,6,.667,.333,,5.8,2.3,0.8,1.5,0.0,.032,-5.0,0.0,1991
35,DAL,Mike Iuzzolino,Saint Francis University,2,122,3049,1096,238,522,.457,.404,.798,25.0,9.0,2.0,4.3,3.7,.058,-2.8,-0.6,1991
36,ORL,Chris Corchiani,North Carolina State University,3,112,1313,416,129,243,.421,.269,.816,11.7,3.7,1.2,2.2,1.6,.058,-2.6,-0.2,1991
37,LAC,Elliot Perry,University of Memphis,10,549,9501,3449,742,1699,.459,.359,.783,17.3,6.3,1.4,3.1,14.0,.071,-2.2,-0.4,1991
38,LAC,Joe Wylie,University of Miami,,,,,,,,,,,,,,,,,,1991
39,CLE,Jimmy Oliver,Purdue University,5,78,856,331,80,55,.407,.340,.772,11.0,4.2,1.0,0.7,0.3,.018,-5.6,-0.8,1991
40,DET,Doug Overton,La Salle University,11,499,7275,2253,654,1038,.412,.319,.816,14.6,4.5,1.3,2.1,2.5,.016,-5.4,-6.2,1991
41,IND,Sean Green,Iona College,3,84,671,352,85,45,.386,.246,.620,8.0,4.2,1.0,0.5,-1.3,-.095,-8.3,-1.1,1991
42,SAC,Steve Hood,James Madison University,,,,,,,,,,,,,,,,,,1991
43,GSW,Lamont Strothers,Christopher Newport University,2,13,155,60,15,14,.329,.133,.714,11.9,4.6,1.2,1.1,-0.5,-.142,-8.1,-0.2,1991
44,PHI,Alvaro Teheran,University of Houston,,,,,,,,,,,,,,,,,,1991
45,MIL,Bobby Phills,Southern University and A&M College,9,467,13426,5153,1469,1246,.443,.390,.738,28.7,11.0,3.1,2.7,27.2,.097,0.5,8.6,1991
46,PHO,Richard Dumas,Oklahoma State University,3,102,2226,1080,351,111,.509,.231,.694,21.8,10.6,3.4,1.1,4.5,.097,-0.3,1.0,1991
47,HOU,Keith Hughes,Rutgers University,,,,,,,,,,,,,,,,,,1991
48,UTA,Isaac Austin,Arizona State University,9,432,8350,3285,2030,538,.446,.176,.670,19.3,7.6,4.7,1.2,9.2,.053,-2.5,-1.0,1991
49,SAS,Greg Sutton,Oral Roberts University,3,168,1946,761,153,284,.396,.361,.743,11.6,4.5,0.9,1.7,1.0,.024,-4.0,-1.0,1991
50,PHO,Joey Wright,University of Texas at Austin,,,,,,,,,,,,,,,,,,1991
51,HOU,Zan Tabak,,6,247,3607,1233,883,165,.506,.000,.525,14.6,5.0,3.6,0.7,2.4,.032,-4.4,-2.2,1991
52,LAL,Anthony Jones,Oral Roberts University,,,,,,,,,,,,,,,,,,1991
53,NJN,Von McDade,University of Wisconsin-Milwaukee,,,,,,,,,,,,,,,,,,1991
54,POR,Marcus Kennedy,Eastern Michigan University,,,,,,,,,,,,,,,,,,1991
1,ORL,Shaquille O'Neal,Louisiana State University,19,1207,41918,28596,13099,3026,.582,.045,.527,34.7,23.7,10.9,2.5,181.7,.208,5.0,74.0,1992
2,CHH,Alonzo Mourning,Georgetown University,15,838,25975,14311,7137,946,.527,.247,.692,31.0,17.1,8.5,1.1,89.7,.166,1.7,24.0,1992
3,MIN,Christian Laettner,Duke University,13,868,25760,11121,5806,2224,.480,.261,.820,29.7,12.8,6.7,2.6,64.9,.121,1.6,23.2,1992
4,DAL,Jim Jackson,Ohio State University,14,885,29067,12690,4152,2851,.428,.365,.825,32.8,14.3,4.7,3.2,35.8,.059,-0.7,9.6,1992
5,DEN,LaPhonso Ellis,University of Notre Dame,11,624,17616,7410,4032,981,.452,.302,.730,28.2,11.9,6.5,1.6,32.8,.089,-0.4,7.1,1992
6,WSB,Tom Gugliotta,North Carolina State University,13,763,23556,9895,5589,2140,.451,.284,.757,30.9,13.0,7.3,2.8,40.2,.082,1.1,18.7,1992
7,SAC,Walt Williams,University of Maryland,11,708,18818,8385,2794,1637,.425,.379,.743,26.6,11.8,3.9,2.3,33.9,.087,0.6,12.4,1992
8,MIL,Todd Day,University of Arkansas,8,483,12214,5917,1649,713,.406,.345,.739,25.3,12.3,3.4,1.5,17.5,.069,-1.1,2.8,1992
9,PHI,Clarence Weatherspoon,University of Southern Mississippi,13,915,27736,10483,6846,1346,.471,.196,.743,30.3,11.5,7.5,1.5,58.4,.101,-0.1,13.4,1992
10,ATL,Adam Keefe,Stanford University,9,617,10334,3107,2556,427,.502,.071,.714,16.7,5.0,4.1,0.7,24.9,.116,-0.1,4.9,1992
11,HOU,Robert Horry,University of Alabama,16,1107,27069,7715,5269,2343,.425,.341,.726,24.5,7.0,4.8,2.1,66.3,.118,2.7,32.0,1992
12,MIA,Harold Miner,University of Southern California,4,200,3748,1801,432,245,.460,.311,.785,18.7,9.0,2.2,1.2,4.2,.053,-4.1,-2.0,1992
13,DEN,Bryant Stith,University of Virginia,10,586,16417,5946,1983,1178,.424,.329,.841,28.0,10.1,3.4,2.0,29.5,.086,-0.6,5.8,1992
14,IND,Malik Sealy,St. John's University,8,493,11720,4955,1585,816,.426,.292,.809,23.8,10.1,3.2,1.7,17.1,.070,-1.4,1.7,1992
15,LAL,Anthony Peeler,University of Missouri,13,827,20464,8017,2136,1956,.427,.384,.799,24.7,9.7,2.6,2.4,30.7,.072,-0.8,6.1,1992
16,LAC,Randy Woods,La Salle University,4,151,1093,356,93,257,.340,.305,.683,7.2,2.4,0.6,1.7,0.6,.026,-3.4,-0.4,1992
17,SEA,Doug Christie,Pepperdine University,15,827,26079,9301,3382,2992,.426,.354,.821,31.5,11.2,4.1,3.6,55.7,.102,1.9,25.4,1992
18,SAS,Tracy Murray,"University of California, Los Angeles",12,659,12103,5943,1649,508,.430,.388,.829,18.4,9.0,2.5,0.8,24.1,.096,-1.6,1.4,1992
19,DET,Don MacLean,"University of California, Los Angeles",9,319,6679,3490,1210,404,.455,.284,.765,20.9,10.9,3.8,1.3,9.4,.067,-3.7,-2.9,1992
20,NYK,Hubert Davis,University of North Carolina,12,685,15143,5583,1045,1172,.458,.441,.837,22.1,8.2,1.5,1.7,27.7,.088,-1.8,0.7,1992
21,BOS,Jon Barry,Georgia Institute of Technology,14,821,13880,4715,1513,1784,.434,.392,.848,16.9,5.7,1.8,2.2,37.2,.129,0.8,9.8,1992
22,PHO,Oliver Miller,University of Arkansas,9,493,11338,3625,2893,1061,.534,.116,.639,23.0,7.4,5.9,2.2,21.1,.089,1.8,10.9,1992
23,MIL,Lee Mayberry,University of Arkansas,7,496,10337,2546,642,1767,.415,.377,.659,20.8,5.1,1.3,3.6,7.9,.036,-4.5,-6.6,1992
24,GSW,Latrell Sprewell,University of Alabama,13,913,35270,16712,3724,3664,.425,.337,.804,38.6,18.3,4.1,4.0,56.3,.077,0.4,21.7,1992
25,LAC,Elmore Spencer,"University of Nevada, Las Vegas",5,157,2641,923,555,109,.516,.000,.580,16.8,5.9,3.5,0.7,0.0,.001,-4.1,-1.4,1992
26,POR,Dave Johnson,Syracuse University,2,59,475,204,64,17,.365,.200,.663,8.1,3.5,1.1,0.3,-0.3,-.032,-9.3,-0.9,1992
27,CHI,Byron Houston,Oklahoma State University,4,214,2674,835,648,114,.456,.256,.676,12.5,3.9,3.0,0.5,3.9,.069,-2.4,-0.3,1992
28,MIN,Marlon Maxey,University of Texas at El Paso,2,98,1146,479,363,22,.542,.000,.685,11.7,4.9,3.7,0.2,2.6,.109,-3.8,-0.5,1992
29,NJN,P.J. Brown,Louisiana Tech University,15,1089,33823,9870,8409,1661,.460,.136,.794,31.1,9.1,7.7,1.5,89.8,.128,1.4,28.6,1992
30,DAL,Sean Rooks,University of Arizona,12,749,13560,4676,2877,631,.459,.091,.699,18.1,6.2,3.8,0.8,16.2,.057,-2.8,-2.7,1992
31,POR,Reggie Smith,Texas Christian University,2,66,384,99,120,5,.394,.000,.404,5.8,1.5,1.8,0.1,0.4,.051,-5.6,-0.3,1992
32,WSB,Brent Price,University of Oklahoma,9,418,7007,2481,684,1236,.426,.387,.824,16.8,5.9,1.6,3.0,12.0,.082,-1.1,1.6,1992
33,CHI,Corey Williams,Oklahoma State University,2,39,288,92,37,29,.367,.250,.826,7.4,2.4,0.9,0.7,0.2,.037,-5.6,-0.3,1992
34,MIN,Chris Smith,University of Connecticut,3,224,3956,1140,291,627,.435,.366,.713,17.7,5.1,1.3,2.8,3.2,.039,-4.5,-2.5,1992
35,CHH,Tony Bennett,University of Wisconsin-Green Bay,3,152,1886,538,155,303,.412,.335,.732,12.4,3.5,1.0,2.0,1.6,.041,-3.9,-0.9,1992
36,LAL,Duane Cooper,University of Southern California,2,88,781,204,59,178,.402,.216,.720,8.9,2.3,0.7,2.0,-0.5,-.032,-8.6,-1.3,1992
37,MIA,Isaiah Morris,University of Arkansas,1,25,102,55,12,4,.456,,.750,4.1,2.2,0.5,0.2,0.0,-.022,-7.9,-0.2,1992
38,ATL,Elmer Bennett,University of Notre Dame,3,21,159,48,10,22,.340,.273,.722,7.6,2.3,0.5,1.0,-0.3,-.095,-8.1,-0.2,1992
39,CHI,Litterial Green,University of Georgia,5,148,1189,423,75,182,.420,.077,.665,8.0,2.9,0.5,1.2,1.6,.066,-4.8,-0.8,1992
40,NJN,Steve Rogers,Alabama State University,,,,,,,,,,,,,,,,,,1992
41,HOU,Popeye Jones,Murray State University,11,535,12579,3726,3981,696,.447,.281,.751,23.5,7.0,7.4,1.3,22.0,.084,-1.1,2.8,1992
42,MIA,Matt Geiger,Georgia Institute of Technology,10,552,12221,5059,3158,388,.499,.232,.728,22.1,9.2,5.7,0.7,28.4,.112,-1.5,1.6,1992
43,GSW,Sasha Danilovic,,2,75,2331,957,182,149,.439,.379,.789,31.1,12.8,2.4,2.0,4.2,.087,-0.8,0.7,1992
44,SAS,Henry Williams,University of North Carolina at Charlotte,,,,,,,,,,,,,,,,,,1992
45,SEA,Chris King,Wake Forest University,3,103,2058,693,311,116,.423,.383,.633,20.0,6.7,3.0,1.1,1.0,.023,-2.7,-0.4,1992
46,DEN,Robert Werdann,St. John's University,3,47,273,101,81,9,.378,.000,.574,5.8,2.1,1.7,0.2,0.1,.026,-6.0,-0.3,1992
47,BOS,Darren Morningstar,University of Pittsburgh,1,23,367,96,81,15,.476,,.600,16.0,4.2,3.5,0.7,0.4,.048,-3.7,-0.2,1992
48,PHO,Brian Davis,Duke University,1,68,374,131,55,22,.317,.333,.735,5.5,1.9,0.8,0.3,0.0,.000,-6.5,-0.4,1992
49,PHO,Ron Ellis,Louisiana Tech University,,,,,,,,,,,,,,,,,,1992
50,GSW,Matt Fish,University of North Carolina at Wilmington,3,50,512,177,110,25,.500,.000,.625,10.2,3.5,2.2,0.5,0.6,.058,-3.1,-0.1,1992
51,MIN,Tim Burroughs,Jacksonville University,,,,,,,,,,,,,,,,,,1992
52,CHI,Matt Steigenga,Michigan State University,1,2,12,3,3,2,.250,.000,.500,6.0,1.5,1.5,1.0,0.0,-.126,-4.0,0.0,1992
53,HOU,Curtis Blair,University of Richmond,,,,,,,,,,,,,,,,,,1992
54,SAC,Brett Roberts,Morehead State University,,,,,,,,,,,,,,,,,,1992
1,ORL,Chris Webber,University of Michigan,15,831,30847,17182,8124,3526,.479,.299,.649,37.1,20.7,9.8,4.2,84.7,.132,3.9,45.9,1993
2,PHI,Shawn Bradley,Brigham Young University,12,832,19531,6752,5268,573,.457,.103,.716,23.5,8.1,6.3,0.7,40.7,.100,0.5,12.3,1993
3,GSW,Anfernee Hardaway,University of Memphis,14,704,23711,10684,3146,3525,.458,.316,.774,33.7,15.2,4.5,5.0,61.9,.125,2.6,27.2,1993
4,DAL,Jamal Mashburn,University of Kentucky,11,611,22762,11644,3271,2414,.418,.345,.766,37.3,19.1,5.4,4.0,43.7,.092,0.2,12.9,1993
5,MIN,Isaiah Rider,"University of Nevada, Las Vegas",9,563,17851,9405,2166,1535,.443,.352,.812,31.7,16.7,3.8,2.7,22.8,.061,-1.2,3.6,1993
6,WSB,Calbert Cheaney,Indiana University,13,825,22007,7826,2610,1398,.466,.298,.691,26.7,9.5,3.2,1.7,23.1,.050,-2.1,-0.7,1993
7,SAC,Bobby Hurley,Duke University,5,269,4170,1032,283,880,.353,.272,.769,15.5,3.8,1.1,3.3,-1.2,-.014,-7.5,-5.8,1993
8,MIL,Vin Baker,University of Hartford,13,791,25737,11839,5867,1509,.485,.215,.638,32.5,15.0,7.4,1.9,47.0,.088,-0.4,10.4,1993
9,DEN,Rodney Rogers,Wake Forest University,12,866,21873,9468,3881,1722,.451,.347,.690,25.3,10.9,4.5,2.0,38.8,.085,0.5,13.8,1993
10,DET,Lindsey Hunter,Jackson State University,17,937,23253,7956,2021,2506,.388,.360,.746,24.8,8.5,2.2,2.7,32.9,.068,-0.4,9.5,1993
11,DET,Allan Houston,University of Tennessee,12,839,28311,14551,2434,1990,.444,.402,.863,33.7,17.3,2.9,2.4,55.3,.094,-0.6,9.9,1993
12,LAL,George Lynch,University of North Carolina,12,774,17683,5109,3902,1121,.446,.306,.652,22.8,6.6,5.0,1.4,32.3,.088,0.6,11.5,1993
13,LAC,Terry Dehere,Seton Hall University,6,402,7305,3235,588,1034,.411,.378,.779,18.2,8.0,1.5,2.6,7.3,.048,-3.4,-2.6,1993
14,IND,Scott Haskin,Oregon State University,1,27,186,55,55,6,.467,,.684,6.9,2.0,2.0,0.2,0.3,.087,-2.9,0.0,1993
15,ATL,Doug Edwards,Florida State University,3,85,838,203,153,60,.378,.000,.709,9.9,2.4,1.8,0.7,0.2,.013,-4.6,-0.6,1993
16,NJN,Rex Walters,University of Kansas,7,335,4602,1547,403,569,.441,.361,.809,13.7,4.6,1.2,1.7,6.3,.066,-3.3,-1.5,1993
17,CHH,Greg Graham,Indiana University,5,207,2530,938,219,201,.407,.290,.775,12.2,4.5,1.1,1.0,1.3,.025,-4.4,-1.6,1993
18,UTA,Luther Wright,Seton Hall University,1,15,92,19,10,0,.348,.000,.750,6.1,1.3,0.7,0.0,-0.1,-.064,-10.1,-0.2,1993
19,BOS,Acie Earl,University of Iowa,4,193,2512,980,517,61,.403,.000,.667,13.0,5.1,2.7,0.3,0.3,.005,-6.9,-3.1,1993
20,CHH,Scott Burrell,University of Connecticut,8,383,7592,2647,1332,527,.418,.373,.723,19.8,6.9,3.5,1.4,16.4,.104,1.2,6.1,1993
21,POR,James Robinson,University of Alabama,7,381,6935,2882,660,715,.394,.348,.666,18.2,7.6,1.7,1.9,5.8,.040,-2.7,-1.2,1993
22,CLE,Chris Mills,University of Arizona,10,568,17282,6357,2808,1063,.432,.351,.817,30.4,11.2,4.9,1.9,37.7,.105,0.0,8.8,1993
23,SEA,Ervin Johnson,University of New Orleans,13,845,16989,3473,5148,387,.505,.200,.605,20.1,4.1,6.1,0.5,37.8,.107,0.0,8.7,1993
24,HOU,Sam Cassell,Florida State University,15,993,29812,15635,3221,5939,.454,.331,.861,30.0,15.7,3.2,6.0,87.5,.141,1.4,25.4,1993
25,CHI,Corie Blount,University of Cincinnati,11,644,9925,2287,2690,460,.471,.115,.587,15.4,3.6,4.2,0.7,18.2,.088,-1.0,2.4,1993
26,ORL,Geert Hammink,Louisiana State University,3,8,27,14,7,2,.400,,.667,3.4,1.8,0.9,0.3,0.1,.089,-8.4,0.0,1993
27,PHO,Malcolm Mackey,Georgia Institute of Technology,1,22,69,32,24,1,.378,.000,.500,3.1,1.5,1.1,0.0,0.1,.036,-10.7,-0.2,1993
28,DAL,Lucious Harris,"California State University, Long Beach",12,800,15701,5784,1864,1130,.426,.348,.790,19.6,7.2,2.3,1.4,28.7,.088,-1.9,0.5,1993
29,MIN,Sherron Mills,Virginia Commonwealth University,,,,,,,,,,,,,,,,,,1993
30,WSB,Gheorghe Muresan,,6,307,6729,3020,1957,150,.573,.000,.644,21.9,9.8,6.4,0.5,19.0,.136,-0.5,2.5,1993
